CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,USER_AGENT,REPORT_ID_DERIVED
India/Haryana,/lightning/r/Case/5006P000004w3caQAA/view,one:recordHomeFlexipage2Wrapper,Case,20220606053130.832,2022-06-06T05:31:30.831Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000004w3caQAA
United States/null,/lightning/r/Case/5006P000005MeGtQAK/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007MCaxUAG%2Fview%3Fc__recordType%3Dasset%26c__input%3D29873203779%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220606053204.062,2022-06-06T05:32:04.065Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005MeGtQAK
United States/null,/lightning/r/Case/5006P000005McP5QAK/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007MAwWUAW%2Fview%3Fc__recordType%3Dasset%26c__input%3DDGY6S93%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220606053225.57,2022-06-06T05:32:25.574Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McP5QAK
United States/null,/lightning/r/Case/5006P000005McqvQAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053241.492,2022-06-06T05:32:41.495Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McqvQAC
United States/null,/lightning/r/WorkOrder/0WO6P00000277ZHWAY/view,one:recordHomeFlexipage,WorkOrder,20220606053335.676,2022-06-06T05:33:35.674Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",0WO6P00000277ZHWAY
India/Haryana,/lightning/r/Case/5006P000005R4OOQA0/view,one:recordHomeFlexipage2Wrapper,Case,20220606053400.92,2022-06-06T05:34:00.921Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000005R4OOQA0
United States/null,/lightning/r/Case/5006P000005McqvQAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053409.742,2022-06-06T05:34:09.745Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McqvQAC
United States/null,/lightning/r/Case/5006P0000040AjdQAE/view,one:recordHomeFlexipage2Wrapper,Case,20220606053430.79,2022-06-06T05:34:30.788Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",5006P0000040AjdQAE
United States/null,/lightning/r/Case/5006P0000040AjdQAE/view,one:recordHomeFlexipage2Wrapper,Case,20220606053430.79,2022-06-06T05:34:30.789Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",5006P0000040AjdQAE
United States/null,/lightning/r/Case/5006P000005McqvQAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053451.33,2022-06-06T05:34:51.332Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McqvQAC
United States/null,/lightning/r/Report/00O2R0000043lHLUAY/view,reports:reportBase,Report,20220606053524.273,2022-06-06T05:35:24.270Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",00O2R0000043lHLUAY
United States/null,/lightning/r/WorkOrder/0WO6P000001dyIhWAI/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007IRBjUAO%2Fview%3Fc__recordType%3Dasset%26c__input%3D8198667399%26c__contactFound%3Dmultiple,one:recordHomeFlexipage,WorkOrder,20220606053536.57,2022-06-06T05:35:36.575Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P000001dyIhWAI
United States/null,/lightning/r/Case/5006P000005McqvQAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053544.61,2022-06-06T05:35:44.607Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McqvQAC
United States/null,/lightning/r/Case/5006P000005QJtKQAW/view?ws=%2Flightning%2Fr%2FWorkOrder%2F0WO6P000001lzYHWAY%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220606053547.28,2022-06-06T05:35:47.282Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",5006P000005QJtKQAW
United States/null,/lightning/r/Case/5006P000005McqvQAC/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007MC7fUAG%2Fview%3Fc__recordType%3Dcontact%26c__input%3D%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220606053550.793,2022-06-06T05:35:50.792Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McqvQAC
United States/null,/lightning/r/Case/5006P000005McqvQAC/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007MC7fUAG%2Fview%3Fc__recordType%3Dcontact%26c__input%3D%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220606053559.633,2022-06-06T05:35:59.630Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005McqvQAC
United States/null,/lightning/r/Case/5006P000005MdRqQAK/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007MBqjUAG%2Fview%3Fc__recordType%3Dasset%26c__input%3D32727138339%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220606053559.684,2022-06-06T05:35:59.683Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005MdRqQAK
United States/null,/lightning/r/Case/5006P000005MeGtQAK/view,one:recordHomeFlexipage2Wrapper,Case,20220606053635.508,2022-06-06T05:36:35.509Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005MeGtQAK
United States/null,/lightning/r/WorkOrder/0WO6P00000277jCWAQ/view,one:recordHomeFlexipage,WorkOrder,20220606053654.535,2022-06-06T05:36:54.538Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",0WO6P00000277jCWAQ
United States/null,/lightning/r/WorkOrder/0WO6P00000277jCWAQ/view,one:recordHomeFlexipage,WorkOrder,20220606053654.54,2022-06-06T05:36:54.540Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",0WO6P00000277jCWAQ
United States/null,/lightning/r/Case/5006P0000040AjdQAE/view,one:recordHomeFlexipage2Wrapper,Case,20220606053656.68,2022-06-06T05:36:56.679Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",5006P0000040AjdQAE
United States/null,/lightning/r/Case/5006P0000040AjdQAE/view,one:recordHomeFlexipage2Wrapper,Case,20220606053656.68,2022-06-06T05:36:56.681Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",5006P0000040AjdQAE
United States/null,/lightning/r/Case/5006P0000040AjdQAE/view,one:recordHomeFlexipage2Wrapper,Case,20220606053656.684,2022-06-06T05:36:56.683Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",5006P0000040AjdQAE
United States/null,/lightning/r/Case/5006P000005MeGtQAK/view,one:recordHomeFlexipage2Wrapper,Case,20220606053726.297,2022-06-06T05:37:26.299Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005MeGtQAK
India/Haryana,/lightning/r/Case/5006P000005R330QAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053727.06,2022-06-06T05:37:27.061Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000005R330QAC
Romania/Brasov,/lightning/r/Asset/02i0b00000j6cTwAAI/view,one:recordHomeFlexipage2Wrapper,Asset,20220606053809.645,2022-06-06T05:38:09.643Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",02i0b00000j6cTwAAI
Romania/Brasov,/lightning/r/Asset/02i0b00000j6cTwAAI/view,one:recordHomeFlexipage2Wrapper,Asset,20220606053809.645,2022-06-06T05:38:09.645Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",02i0b00000j6cTwAAI
Romania/Brasov,/lightning/r/Asset/02i0b00000j6cTwAAI/view,one:recordHomeFlexipage2Wrapper,Asset,20220606053809.65,2022-06-06T05:38:09.649Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",02i0b00000j6cTwAAI
Romania/Brasov,/lightning/r/Asset/02i0b00000j6cTwAAI/view,one:recordHomeFlexipage2Wrapper,Asset,20220606053809.65,2022-06-06T05:38:09.651Z,ReferenceError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",02i0b00000j6cTwAAI
United States/null,/lightning/r/Case/5006P000005Mbm4QAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053814.28,2022-06-06T05:38:14.277Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005Mbm4QAC
India/Haryana,/lightning/r/Case/5006P000005Pw6OQAS/view,one:recordHomeFlexipage2Wrapper,Case,20220606053830.344,2022-06-06T05:38:30.346Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000005Pw6OQAS
India/Haryana,/lightning/r/Case/5006P000004hQuEQAU/view,one:recordHomeFlexipage2Wrapper,Case,20220606053840.438,2022-06-06T05:38:40.433Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000004hQuEQAU
United States/null,/lightning/r/Case/5006P000005Mbm4QAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606053843.812,2022-06-06T05:38:43.814Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005Mbm4QAC
United States/null,/lightning/r/WorkOrder/0WO6P00000277jbWAA/view,one:recordHomeFlexipage,WorkOrder,20220606053854.875,2022-06-06T05:38:54.873Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36""",0WO6P00000277jbWAA
United States/null,/lightning/r/LiveChatTranscript/5706P000000rS0jQAE/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220606053959.188,2022-06-06T05:39:59.189Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5706P000000rS0jQAE
