"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","URI","SESSION_KEY","LOGIN_KEY","USER_TYPE","REQUEST_STATUS","DB_TOTAL_TIME","ENTITY_NAME","DISPLAY_TYPE","RENDERING_TYPE","REPORT_ID","ROW_COUNT","NUMBER_EXCEPTION_FILTERS","NUMBER_COLUMNS","AVERAGE_ROW_SIZE","SORT","DB_BLOCKS","DB_CPU_TIME","NUMBER_BUCKETS","TIMESTAMP_DERIVED","USER_ID_DERIVED","CLIENT_IP","URI_ID_DERIVED","REPORT_ID_DERIVED","ORIGIN"
"Report","20220620003825.679","4jchB7OtTgCjJdG-mNHjk-","00D0b000000GaMp","0050b000004K619","6217","152","N/A","","","Standard","","6038609339","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","1023","40","0","2022-06-20T00:38:25.679Z","0050b000004K619AAC","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003831.998","SLB:0abf8f70a169d6eb70cf40d545811d57","00D0b000000GaMp","0050b000004KNJd","4878","222","/00O2R000003zUb9UAE","cvRk40J50dmkfu+T","S2EIQfwEo5JO0DUJ","Standard","S","4648966670","","H","W","00O2R000003zUb9","8","0","17","874","","5942","30","1","2022-06-20T00:38:31.998Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620003835.137","TID:56050900000c914db0","00D0b000000GaMp","0052R000009j2Ol","7382","514","/aura","7L13LxCZJVZWxKto","DlFFhF+aTLLiAqSV","Standard","","6784919230","","H","","00O2R000004Amwm","4","0","44","1735","0722R000004O8YP.down","1034","30","0","2022-06-20T00:38:35.137Z","0052R000009j2OlQAI","137.69.117.202","","00O2R000004AmwmUAC","ReportRunFromLightning"
"Report","20220620003844.210","TID:9792020000095f4326","00D0b000000GaMp","0050b000005npq5","580","271","/aura","d+V9Ykp78rY+DYvS","N3YfhBxkx/0kIOGy","Standard","","259858213","","S","","00O0b000004AmRr","1","0","4","162","","910","0","0","2022-06-20T00:38:44.210Z","0050b000005npq5AAA","163.244.246.207","","00O0b000004AmRrEAK","ReportRunFromLightning"
"Report","20220620003852.188","4jchCfHunuKma8G-mNP9w-","00D0b000000GaMp","0050b000004KQeh","6180","133","N/A","","","Standard","","6024886998","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","869","40","0","2022-06-20T00:38:52.188Z","0050b000004KQehAAG","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003852.798","4jchCrln3hn3rtG-mOmDJ-","00D0b000000GaMp","0050b000004KCdz","3439","141","N/A","","","Standard","","3267135999","","S","","00O0b000004kkZK","12","0","6","243","0720b000001dxwL.up","783","20","0","2022-06-20T00:38:52.798Z","0050b000004KCdzAAG","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003900.804","TID:376870000091c88872","00D0b000000GaMp","0050b000004KQN5","1471","194","/aura","AqrqVrmNlgBg8yn8","OzjIT9JkyK+I75kN","Standard","","1282942181","","H","","00O2R0000044JUn","17","0","20","1343","","743","30","0","2022-06-20T00:39:00.804Z","0050b000004KQN5AAO","163.244.62.78","","00O2R0000044JUnUAM","ReportRunFromLightning"
"Report","20220620003902.029","TID:8365890000ba8fb728","00D0b000000GaMp","0051P000003jYbW","571","319","/aura","zGpee6zlhXCLXPzg","6i1bzLc8LQjCNpCj","Standard","","201966974","","H","","00O0b000004kTaz","0","0","21","0","","4104","70","0","2022-06-20T00:39:02.029Z","0051P000003jYbWQAU","143.166.255.112","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620003902.333","4jchDSBDbp4OL8G-mN6lb-","00D0b000000GaMp","0051P000003jYbW","2931","128","N/A","","","Standard","","2777356217","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","758","30","0","2022-06-20T00:39:02.333Z","0051P000003jYbWQAU","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003905.116","TID:2050140900000fb700","00D0b000000GaMp","0052R000009TrbP","488","372","/aura","dMFLkqv7A/LwbRQU","yBJWRN9Aus+vkSHV","Standard","","135326350","","H","","00O0b000004kTaz","42","0","23","867","0720b000006jdBY.up","3290","50","0","2022-06-20T00:39:05.116Z","0052R000009TrbPQAS","132.237.180.18","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620003906.017","4jchDeYZPIeGV8G-mNL2F-","00D0b000000GaMp","0050b000004KCcO","3030","206","N/A","","","Standard","","2799539989","","H","","00O2R000004BQ1b","16","0","14","473","CASE_NUMBER.up","6088","30","0","2022-06-20T00:39:06.017Z","0050b000004KCcOAAW","","","00O2R000004BQ1bUAG","DashboardComponentUpdated"
"Report","20220620003916.684","TID:20738506900005011f","00D0b000000GaMp","0056P0000011hKz","7729","527","/aura","HCJma63FyiNrZe2B","AR7mjigw3jGeDd0A","Standard","","7189936017","","H","","00O2R000004Amwm","39","0","44","1889","0722R000004O8YP.down","1116","30","0","2022-06-20T00:39:16.684Z","0056P0000011hKzQAI","163.244.22.10","","00O2R000004AmwmUAC","ReportRunFromLightning"
"Report","20220620003917.449","4jchEAnzS3R9h8G-mNP97-","00D0b000000GaMp","0050b000004K6qu","5532","118","N/A","","","Standard","","5388391552","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","836","20","0","2022-06-20T00:39:17.449Z","0050b000004K6quAAC","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
